gvkey,fyear,prob_ada
1004,2001,0.35223702890941017
1013,2001,0.3436816230400405
1019,2001,0.3522322239824672
1021,2001,0.3373463578140877
1034,2001,0.360543185100197
1038,2001,0.33352490118811173
1045,2001,0.3365121929475372
1056,2001,0.3493154459821167
1072,2001,0.3358371011577181
1075,2001,0.3335218231665607
1078,2001,0.35994622450273334
1082,2001,0.3232736064686265
1094,2001,0.3686857041114173
1095,2001,0.3585018004433061
1104,2001,0.34118469146268865
1109,2001,0.3542282407248281
1117,2001,0.3574680316866804
1121,2001,0.3344990044803067
1154,2001,0.34638275931632906
1161,2001,0.34302392114279
1165,2001,0.365171702838558
1166,2001,0.34173828654727867
1186,2001,0.32999110104173557
1209,2001,0.3376344962189818
1210,2001,0.3423982639887233
1213,2001,0.32595495887681997
1228,2001,0.34848597751042004
1230,2001,0.32699315208828156
1234,2001,0.34800831936152754
1239,2001,0.35533473483882033
1240,2001,0.34079418377647136
1243,2001,0.3409055094823765
1244,2001,0.3377814661464125
1246,2001,0.3610025697431185
1254,2001,0.3318608449688143
1258,2001,0.38623392377762344
1266,2001,0.33556365782128367
1279,2001,0.34550581090118426
1283,2001,0.3267167092385949
1300,2001,0.3524757683489315
1308,2001,0.36549369110755997
1318,2001,0.34399747485508614
1327,2001,0.3307594029303267
1331,2001,0.34821789584432444
1356,2001,0.3453525929330644
1360,2001,0.3360218572425862
1372,2001,0.3360031803401332
1380,2001,0.34190283441693553
1382,2001,0.33446700918065114
1397,2001,0.34419951069278887
1408,2001,0.35267417312318533
1410,2001,0.3646559815751143
1439,2001,0.349960876534367
1468,2001,0.35252964402466114
1478,2001,0.3463892616753512
1491,2001,0.33224086096317396
1496,2001,0.3564491121380141
1500,2001,0.3544699228355533
1523,2001,0.3407015154965498
1554,2001,0.35555440569369173
1559,2001,0.32742621718709497
1577,2001,0.35131017965322
1581,2001,0.34770540679146633
1587,2001,0.3302188532561701
1593,2001,0.35152193743765664
1594,2001,0.3810566265468913
1602,2001,0.33887816614021954
1606,2001,0.33282051871663515
1613,2001,0.3465662527183039
1627,2001,0.36308004373230374
1632,2001,0.33342193501194445
1633,2001,0.3439589353123855
1634,2001,0.35062145926098864
1635,2001,0.34169554464227053
1641,2001,0.34383564235150477
1642,2001,0.3571886567122711
1650,2001,0.3531340627678799
1655,2001,0.33598001595342963
1656,2001,0.3449448114374409
1659,2001,0.354759835581548
1661,2001,0.33675298707874873
1663,2001,0.33974985452107115
1669,2001,0.30754602709353307
1677,2001,0.3541099334396925
1678,2001,0.3293153664532937
1682,2001,0.32487446534334974
1686,2001,0.3484635776039945
1690,2001,0.3254310861388747
1704,2001,0.33147354317585875
1712,2001,0.3019282665917093
1722,2001,0.35024378092774955
1728,2001,0.31765209041440634
1743,2001,0.34099404253430565
1773,2001,0.33923023713304307
1783,2001,0.3447991585874782
1794,2001,0.35406750177843743
1797,2001,0.3180724016916298
1814,2001,0.3370108976717111
1819,2001,0.3355904149113716
1820,2001,0.34495925843510783
1822,2001,0.3294513961411299
1823,2001,0.3387993662814238
1837,2001,0.3432354107726471
1856,2001,0.31547046101521004
1860,2001,0.32735310132584666
1864,2001,0.3344644501169995
1866,2001,0.3332748420178287
1868,2001,0.331581540025251
1874,2001,0.350840423810808
1884,2001,0.3189843678274816
1891,2001,0.3611208179705314
1914,2001,0.36482647222438863
1919,2001,0.3628141199779674
1926,2001,0.3649381933454679
1932,2001,0.35125265678257506
1943,2001,0.3440345515810195
1945,2001,0.3353413109636877
1951,2001,0.3599392782131064
1968,2001,0.34671108518985766
1969,2001,0.3268012858967333
1971,2001,0.34499897682645236
1974,2001,0.3558103193431669
1979,2001,0.3551862140422399
1981,2001,0.34949289768369535
1988,2001,0.34397090597522195
1992,2001,0.3250015556170707
1995,2001,0.342168455454873
2008,2001,0.32751119882849605
2011,2001,0.33251942327170025
2028,2001,0.35367938958379663
2033,2001,0.3576967869449209
2034,2001,0.3403452771862949
2049,2001,0.3510448132141104
2055,2001,0.3274381283505571
2061,2001,0.3490114921176087
2073,2001,0.3285979463685493
2080,2001,0.3457556763391192
2086,2001,0.352562094444866
2100,2001,0.32735130325132067
2101,2001,0.3557827285251992
2111,2001,0.35097724593867946
2113,2001,0.3405407948545601
2130,2001,0.35571727875434656
2136,2001,0.3483578719621348
2146,2001,0.34552170354784106
2150,2001,0.3571588574190936
2154,2001,0.3449860055042357
2162,2001,0.3192946532417025
2163,2001,0.33894464269289654
2184,2001,0.3488585024473269
2189,2001,0.37280548634671057
2193,2001,0.33904972693893937
2205,2001,0.34815089475278194
2220,2001,0.3559407026138455
2226,2001,0.3372654520463883
2230,2001,0.35855647667878865
2240,2001,0.3525232060347018
2246,2001,0.35306623939797416
2251,2001,0.3607104025719657
2255,2001,0.35379412794047743
2264,2001,0.34843014557007557
2269,2001,0.3489199231686895
2270,2001,0.32886704687164975
2271,2001,0.34144412388598566
2282,2001,0.32772002367892833
2290,2001,0.33605711290060225
2295,2001,0.3484931659586328
2299,2001,0.3622184142059197
2312,2001,0.3385543562154895
2328,2001,0.32737079316863743
2337,2001,0.3364010806912637
2338,2001,0.34586425822494987
2340,2001,0.32541532130553785
2342,2001,0.31564783502029425
2346,2001,0.3485255169514368
2352,2001,0.3489618793707131
2390,2001,0.33401062193334163
2393,2001,0.35138690837098135
2410,2001,0.34016379181220446
2411,2001,0.32818149019532583
2433,2001,0.3162395839839041
2435,2001,0.33615915101901683
2436,2001,0.35795731904473077
2437,2001,0.32898384201623504
2444,2001,0.35246795671256237
2448,2001,0.34116476743651636
2482,2001,0.3064846489713443
2484,2001,0.346881126374788
2489,2001,0.33275982311417074
2490,2001,0.32562846855220284
2497,2001,0.35024554381132855
2504,2001,0.357329237167241
2507,2001,0.3230594803076146
2508,2001,0.331969498965106
2518,2001,0.3409752641327879
2519,2001,0.35743597822348905
2521,2001,0.3456440762940263
2536,2001,0.35910635999826307
2537,2001,0.3391797660756946
2538,2001,0.3462719071520087
2555,2001,0.3419561684246437
2556,2001,0.3365162249367008
2561,2001,0.33091700003115426
2573,2001,0.34164136969314324
2574,2001,0.33702642749016204
2577,2001,0.34316696355127224
2581,2001,0.3308611304030101
2589,2001,0.35675276656734883
2593,2001,0.34012434253205504
2595,2001,0.32460874234139264
2596,2001,0.3640650856869402
2597,2001,0.35752822725625427
2602,2001,0.3313579428188374
2606,2001,0.34407394359927623
2616,2001,0.3553299358035837
2618,2001,0.34478787399981387
2628,2001,0.3286241534902661
2644,2001,0.34413806036323014
2663,2001,0.3540235245394565
2710,2001,0.3623528338187845
2721,2001,0.34191160211346905
2771,2001,0.3503721593350846
2783,2001,0.34778552080444775
2785,2001,0.31871000837119384
2787,2001,0.34615367730363855
2802,2001,0.32653451707252973
2803,2001,0.31499611696128094
2807,2001,0.3293082471636218
2811,2001,0.3216751498496075
2812,2001,0.34346918305661744
2817,2001,0.35693047222536173
2818,2001,0.343192103453557
2829,2001,0.35421387832435075
2856,2001,0.3194223844690842
2859,2001,0.3178567524529185
2865,2001,0.3187733041409836
2870,2001,0.33535307237839884
2884,2001,0.3455071999233434
2888,2001,0.3617045016391843
2889,2001,0.3184570206967251
2903,2001,0.36453381759860015
2908,2001,0.3276905372813962
2918,2001,0.3691253285235327
2929,2001,0.3507533469365857
2938,2001,0.35469415189649517
2940,2001,0.3576191193534698
2950,2001,0.3537600514882456
2951,2001,0.374492477004449
2953,2001,0.3528212246109717
2960,2001,0.3568166953625228
2982,2001,0.35261354245653
2986,2001,0.33496092184075177
2990,2001,0.33027994622281076
